train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC10,MSC03,motor,0.89,0.95,0.8975757575757576,0.8854545454545455,,0.95
MSC10,MSC03,mem,0.8166666666666667,0.95,0.7158041958041959,1.0,,0.95
MSC10,MSC04,glass,0.8300000000000001,0.85,0.9402777777777778,0.7686729936729937,,0.85
MSC10,MSC04,semantic,0.81,0.9,1.0,0.7269230769230769,,0.9
MSC10,MSC04,motor,0.96,0.95,1.0,0.9303030303030303,,0.95
MSC10,MSC04,mem,0.9,0.95,0.8333333333333334,1.0,,0.95
MSC10,MSC05,glass,0.605,0.85,,0.5605564155486756,,0.85
MSC10,MSC05,semantic,0.8,0.9,1.0,0.720970695970696,,0.9
MSC10,MSC05,motor,0.82,0.95,1.0,0.7377289377289378,,0.95
MSC10,MSC05,mem,0.905,0.95,0.8965734265734266,0.9331313131313131,,0.95
MSC10,MSC06,glass,0.6105263157894737,0.85,1.0,0.5751633986928105,,0.85
MSC10,MSC06,semantic,0.665,0.9,1.0,0.6000816993464052,,0.9
MSC10,MSC06,motor,0.6421052631578947,0.95,1.0,0.5968954248366013,,0.95
MSC10,MSC06,mem,0.97,0.95,1.0,0.9496503496503497,,0.95
MSC10,MSC07,glass,0.535,0.85,,0.5187134502923977,,0.85
MSC10,MSC07,semantic,0.6599999999999999,0.9,1.0,0.5968137254901961,,0.9
MSC10,MSC07,motor,0.9,0.95,1.0,0.8409090909090909,,0.95
MSC10,MSC07,mem,0.77,0.95,0.8690476190476191,0.7231591937474291,,0.95
