sub,session,task,rt,corr
MSC01,Session 6,random,885,corr
MSC01,Session 6,random,974,corr
MSC01,Session 6,Verb,1000,corr
MSC01,Session 6,Noun,1224,corr
MSC01,Session 6,Verb,1004,corr
MSC01,Session 6,Verb,982,corr
MSC01,Session 6,Noun,905,corr
MSC01,Session 6,Verb,1661,corr
MSC01,Session 6,Noun,1599,corr
MSC01,Session 6,Noun,1337,corr
MSC01,Session 6,Noun,812,corr
MSC01,Session 6,Verb,1660,corr
MSC01,Session 6,Noun,1755,corr
MSC01,Session 6,Verb,1032,corr
MSC01,Session 6,Noun,1465,corr
MSC01,Session 6,Verb,1402,corr
MSC01,Session 6,Noun,1040,corr
MSC01,Session 6,Verb,1099,corr
MSC01,Session 6,Noun,930,corr
MSC01,Session 6,Noun,1585,corr
MSC01,Session 6,Noun,1810,corr
MSC01,Session 6,Verb,818,corr
MSC01,Session 6,Verb,1330,corr
MSC01,Session 6,Verb,1146,corr
MSC01,Session 6,Verb,883,corr
MSC01,Session 6,Noun,1192,corr
MSC01,Session 6,Noun,1479,corr
MSC01,Session 6,Verb,1364,corr
MSC01,Session 6,Noun,1087,corr
MSC01,Session 6,Noun,1160,err
MSC01,Session 6,Verb,1244,corr
MSC01,Session 6,Verb,954,corr
MSC01,Session 7,random,1014,corr
MSC01,Session 7,coherent,655,corr
MSC01,Session 7,random,744,corr
MSC01,Session 7,random,862,corr
MSC01,Session 7,coherent,903,corr
MSC01,Session 7,coherent,770,corr
MSC01,Session 7,coherent,698,corr
MSC01,Session 7,random,875,corr
MSC01,Session 7,random,1130,corr
MSC01,Session 7,random,937,corr
MSC01,Session 7,coherent,897,corr
MSC01,Session 7,coherent,737,corr
MSC01,Session 7,random,1034,corr
MSC01,Session 7,coherent,714,corr
MSC01,Session 7,random,803,corr
MSC01,Session 7,coherent,801,corr
MSC01,Session 7,random,745,corr
