sub,sess,rating,rt,corr
MSC01,Session 2 ,Abstract,1169,corr
MSC01,Session 2 ,Abstract,860,corr
MSC01,Session 2 ,Abstract,1446,corr
MSC01,Session 2 ,Abstract,990,corr
MSC01,Session 2 ,Abstract,827,corr
MSC01,Session 2 ,Concrete,951,corr
MSC01,Session 2 ,Concrete,926,corr
MSC01,Session 2 ,Concrete,609,corr
MSC01,Session 2 ,Abstract,1301,corr
MSC01,Session 2 ,Abstract,1014,corr
MSC01,Session 2 ,Abstract,1138,corr
MSC01,Session 2 ,Abstract,1181,corr
MSC01,Session 2 ,Abstract,1147,corr
MSC01,Session 2 ,Abstract,1289,corr
MSC01,Session 2 ,Concrete,1103,corr
MSC01,Session 2 ,Concrete,734,corr
MSC01,Session 2 ,Concrete,1448,corr
MSC01,Session 2 ,Concrete,1283,corr
MSC01,Session 2 ,Concrete,930,corr
MSC01,Session 2 ,Concrete,678,corr
MSC01,Session 2 ,Concrete,862,corr
MSC01,Session 2 ,Concrete,759,corr
MSC01,Session 2 ,Concrete,715,corr
MSC01,Session 2 ,Concrete,959,corr
MSC01,Session 2 ,Concrete,1295,corr
MSC01,Session 2 ,Concrete,883,corr
MSC01,Session 2 ,Concrete,964,corr
MSC01,Session 2 ,Concrete,645,corr
MSC01,Session 2 ,Concrete,953,corr
MSC01,Session 2 ,Abstract,1379,err
MSC01,Session 2 ,Abstract,1319,corr
MSC01,Session 2 ,Abstract,1318,corr
MSC01,Session 2 ,Concrete,1595,corr
MSC01,Session 2 ,Concrete,719,corr
MSC01,Session 2 ,Concrete,905,corr
MSC01,Session 2 ,Abstract,1397,corr
MSC01,Session 2 ,Abstract,1145,corr
MSC01,Session 2 ,Abstract,1164,corr
MSC01,Session 2 ,Abstract,1584,corr
MSC01,Session 2 ,Abstract,926,corr
MSC01,Session 2 ,Abstract,1290,corr
MSC01,Session 2 ,Abstract,1378,corr
MSC01,Session 2 ,Abstract,1387,corr
MSC01,Session 2 ,Abstract,1117,corr
MSC01,Session 2 ,Concrete,1047,corr
MSC01,Session 2 ,Concrete,950,corr
MSC01,Session 2 ,Concrete,974,corr
MSC01,Session 2 ,Concrete,826,corr
MSC01,Session 2 ,Concrete,1252,corr
MSC01,Session 2 ,Concrete,894,corr
MSC01,Session 2 ,Concrete,1266,corr
MSC01,Session 2 ,Concrete,751,corr
MSC01,Session 2 ,Concrete,1040,corr
MSC01,Session 3,female,604,corr
MSC01,Session 3,female,711,corr
MSC01,Session 3,female,755,corr
MSC01,Session 3,female,1087,corr
MSC01,Session 3,female,773,corr
MSC01,Session 3,female,808,corr
MSC01,Session 3,female,929,corr
MSC01,Session 3,female,990,corr
MSC01,Session 3,female,756,corr
MSC01,Session 3,female,818,corr
MSC01,Session 3,female,907,corr
MSC01,Session 3,female,762,corr
MSC01,Session 3,female,770,corr
MSC01,Session 3,female,950,corr
MSC01,Session 3,female,647,corr
MSC01,Session 3,female,845,corr
MSC01,Session 3,female,1038,corr
MSC01,Session 3,female,582,corr
MSC01,Session 3,female,829,corr
MSC01,Session 3,female,755,corr
MSC01,Session 3,female,779,corr
MSC01,Session 3,female,804,corr
MSC01,Session 3,female,920,corr
MSC01,Session 3,female,803,corr
MSC01,Session 3,female,1227,corr
MSC01,Session 3,female,1009,corr
MSC01,Session 3,female,723,corr
MSC01,Session 3,female,591,corr
MSC01,Session 3,female,1023,corr
MSC01,Session 3,female,697,corr
MSC01,Session 3,female,776,corr
MSC01,Session 3,female,703,corr
MSC01,Session 3,female,671,corr
MSC01,Session 3,female,727,corr
MSC01,Session 3,female,653,corr
MSC01,Session 3,female,842,corr
MSC01,Session 3,male,971,corr
MSC01,Session 3,male,960,corr
MSC01,Session 3,male,704,corr
MSC01,Session 3,male,879,corr
MSC01,Session 3,male,729,corr
MSC01,Session 3,male,930,corr
MSC01,Session 3,male,786,corr
MSC01,Session 3,male,653,corr
MSC01,Session 3,male,725,corr
MSC01,Session 3,male,705,corr
MSC01,Session 3,male,686,corr
MSC01,Session 3,male,642,corr
MSC01,Session 3,male,738,corr
MSC01,Session 3,male,747,corr
MSC01,Session 3,male,674,corr
MSC01,Session 3,male,656,corr
MSC01,Session 3,male,638,corr
MSC01,Session 3,male,744,corr
MSC01,Session 3,male,989,corr
MSC01,Session 3,male,789,corr
MSC01,Session 3,male,621,corr
MSC01,Session 3,male,649,corr
MSC01,Session 3,male,767,corr
MSC01,Session 3,male,732,corr
MSC01,Session 3,male,838,corr
MSC01,Session 3,male,609,corr
MSC01,Session 3,male,800,corr
MSC01,Session 3,male,688,corr
MSC01,Session 3,male,646,corr
MSC01,Session 3,male,768,corr
MSC01,Session 3,male,690,corr
MSC01,Session 3,male,698,corr
MSC01,Session 3,male,843,corr
MSC01,Session 3,male,780,corr
MSC01,Session 3,male,888,corr
MSC01,Session 3,male,1243,corr
MSC01,Session 3,outdoor,1041,corr
MSC01,Session 3,outdoor,1004,corr
MSC01,Session 3,outdoor,776,corr
MSC01,Session 3,indoor,1221,corr
MSC01,Session 3,indoor,708,corr
MSC01,Session 3,indoor,704,corr
MSC01,Session 3,indoor,1032,corr
MSC01,Session 3,indoor,1177,corr
MSC01,Session 3,indoor,810,corr
MSC01,Session 3,indoor,1009,corr
MSC01,Session 3,indoor,1013,corr
MSC01,Session 3,indoor,912,corr
MSC01,Session 3,outdoor,1042,corr
MSC01,Session 3,outdoor,1218,corr
MSC01,Session 3,outdoor,1028,corr
MSC01,Session 3,outdoor,1101,err
MSC01,Session 3,outdoor,1098,corr
MSC01,Session 3,outdoor,1379,corr
MSC01,Session 3,outdoor,1747,corr
MSC01,Session 3,outdoor,1043,corr
MSC01,Session 3,outdoor,770,corr
MSC01,Session 3,outdoor,779,corr
MSC01,Session 3,outdoor,639,corr
MSC01,Session 3,outdoor,853,corr
MSC01,Session 3,outdoor,713,corr
MSC01,Session 3,outdoor,722,corr
MSC01,Session 3,outdoor,684,corr
MSC01,Session 3,indoor,751,corr
MSC01,Session 3,indoor,1024,corr
MSC01,Session 3,indoor,762,corr
MSC01,Session 3,outdoor,1160,corr
MSC01,Session 3,outdoor,760,corr
MSC01,Session 3,outdoor,771,corr
MSC01,Session 3,indoor,948,corr
MSC01,Session 3,indoor,671,corr
MSC01,Session 3,indoor,1125,corr
MSC01,Session 3,outdoor,1146,corr
MSC01,Session 3,outdoor,794,corr
MSC01,Session 3,outdoor,915,corr
MSC01,Session 3,indoor,1074,corr
MSC01,Session 3,indoor,677,corr
MSC01,Session 3,indoor,684,corr
MSC01,Session 3,outdoor,1267,corr
MSC01,Session 3,outdoor,737,corr
MSC01,Session 3,outdoor,881,corr
MSC01,Session 3,indoor,1333,corr
MSC01,Session 3,indoor,774,corr
MSC01,Session 3,indoor,816,corr
MSC01,Session 3,indoor,780,corr
MSC01,Session 3,indoor,1071,corr
MSC01,Session 3,indoor,1127,corr
MSC01,Session 3,outdoor,858,corr
MSC01,Session 3,outdoor,1140,corr
MSC01,Session 3,outdoor,988,corr
MSC01,Session 3,indoor,1491,corr
MSC01,Session 3,indoor,875,corr
MSC01,Session 3,indoor,773,corr
MSC01,Session 3,indoor,1180,corr
MSC01,Session 3,indoor,829,corr
MSC01,Session 3,indoor,1085,corr
MSC01,Session 3,indoor,933,corr
MSC01,Session 3,indoor,884,corr
MSC01,Session 3,indoor,760,corr
MSC01,Session 3,outdoor,1652,corr
MSC01,Session 3,outdoor,703,corr
MSC01,Session 3,outdoor,833,corr
MSC01,Session 3,indoor,1143,err
MSC01,Session 3,indoor,1125,corr
MSC01,Session 3,indoor,983,corr
MSC01,Session 3,outdoor,781,corr
MSC01,Session 3,outdoor,1008,err
MSC01,Session 3,outdoor,686,corr
MSC01,Session 3,Abstract,797,corr
MSC01,Session 3,Abstract,711,corr
MSC01,Session 3,Abstract,637,corr
MSC01,Session 3,Concrete,671,corr
MSC01,Session 3,Concrete,770,corr
MSC01,Session 3,Concrete,744,corr
MSC01,Session 3,Concrete,750,corr
MSC01,Session 3,Concrete,799,corr
MSC01,Session 3,Concrete,677,corr
MSC01,Session 3,Concrete,936,corr
MSC01,Session 3,Concrete,670,corr
MSC01,Session 3,Concrete,753,corr
MSC01,Session 3,Concrete,777,corr
MSC01,Session 3,Concrete,634,corr
MSC01,Session 3,Concrete,637,corr
MSC01,Session 3,Concrete,772,corr
MSC01,Session 3,Concrete,763,corr
MSC01,Session 3,Concrete,615,corr
MSC01,Session 3,Concrete,982,corr
MSC01,Session 3,Concrete,621,corr
MSC01,Session 3,Concrete,840,corr
MSC01,Session 3,Abstract,1356,corr
MSC01,Session 3,Abstract,1142,corr
MSC01,Session 3,Abstract,811,corr
MSC01,Session 3,Abstract,1699,corr
MSC01,Session 3,Abstract,1054,corr
MSC01,Session 3,Abstract,897,corr
MSC01,Session 3,Concrete,1145,corr
MSC01,Session 3,Concrete,690,corr
MSC01,Session 3,Concrete,962,corr
MSC01,Session 3,Concrete,855,corr
MSC01,Session 3,Concrete,604,corr
MSC01,Session 3,Concrete,1271,corr
MSC01,Session 3,Concrete,1340,corr
MSC01,Session 3,Concrete,708,corr
MSC01,Session 3,Concrete,793,corr
MSC01,Session 3,Abstract,1467,err
MSC01,Session 3,Abstract,1233,corr
MSC01,Session 3,Abstract,1129,err
MSC01,Session 3,Abstract,1052,corr
MSC01,Session 3,Abstract,1084,corr
MSC01,Session 3,Abstract,776,corr
MSC01,Session 3,Abstract,942,corr
MSC01,Session 3,Abstract,1168,corr
MSC01,Session 3,Abstract,852,corr
MSC01,Session 3,Concrete,967,corr
MSC01,Session 3,Concrete,712,corr
MSC01,Session 3,Concrete,913,corr
MSC01,Session 3,Abstract,1096,corr
MSC01,Session 3,Abstract,746,corr
MSC01,Session 3,Abstract,770,corr
MSC01,Session 3,Abstract,874,corr
MSC01,Session 3,Abstract,580,corr
MSC01,Session 3,Abstract,707,corr
MSC01,Session 3,Abstract,1098,corr
MSC01,Session 3,Abstract,1237,corr
MSC01,Session 3,Abstract,1198,corr
MSC01,Session 3,Abstract,1455,corr
MSC01,Session 3,Abstract,1080,corr
MSC01,Session 3,Abstract,1401,corr
MSC01,Session 3,Abstract,947,corr
MSC01,Session 3,Abstract,898,corr
MSC01,Session 3,Abstract,1134,corr
MSC01,Session 3,Concrete,855,corr
MSC01,Session 3,Concrete,760,corr
MSC01,Session 3,Concrete,722,corr
MSC01,Session 3,Concrete,1111,corr
MSC01,Session 3,Concrete,677,corr
MSC01,Session 3,Concrete,1036,corr
MSC01,Session 3,Abstract,1176,corr
MSC01,Session 3,Abstract,922,corr
MSC01,Session 3,Abstract,697,corr
MSC01,Session 4,male,1043,corr
MSC01,Session 4,male,966,corr
MSC01,Session 4,male,781,corr
MSC01,Session 4,male,654,corr
MSC01,Session 4,male,764,corr
MSC01,Session 4,male,976,corr
MSC01,Session 4,male,882,corr
MSC01,Session 4,male,709,corr
MSC01,Session 4,male,631,corr
MSC01,Session 4,female,627,corr
MSC01,Session 4,female,667,corr
MSC01,Session 4,female,651,corr
MSC01,Session 4,female,1038,corr
MSC01,Session 4,female,770,corr
MSC01,Session 4,female,755,corr
MSC01,Session 4,male,693,corr
MSC01,Session 4,male,979,corr
MSC01,Session 4,male,878,corr
MSC01,Session 4,female,697,corr
MSC01,Session 4,female,831,corr
MSC01,Session 4,female,700,corr
MSC01,Session 4,male,843,corr
MSC01,Session 4,male,1011,corr
MSC01,Session 4,male,956,err
MSC01,Session 4,female,653,corr
MSC01,Session 4,female,761,corr
MSC01,Session 4,female,793,corr
MSC01,Session 4,female,759,corr
MSC01,Session 4,female,693,corr
MSC01,Session 4,female,1010,corr
MSC01,Session 4,female,619,corr
MSC01,Session 4,female,852,corr
MSC01,Session 4,female,579,corr
MSC01,Session 4,female,756,corr
MSC01,Session 4,female,807,corr
MSC01,Session 4,female,668,corr
MSC01,Session 4,female,1150,corr
MSC01,Session 4,female,1005,corr
MSC01,Session 4,female,642,corr
MSC01,Session 4,male,874,corr
MSC01,Session 4,male,844,corr
MSC01,Session 4,male,719,corr
MSC01,Session 4,female,777,corr
MSC01,Session 4,female,840,corr
MSC01,Session 4,female,936,corr
MSC01,Session 4,male,594,corr
MSC01,Session 4,male,718,corr
MSC01,Session 4,male,801,corr
MSC01,Session 4,male,931,corr
MSC01,Session 4,male,679,corr
MSC01,Session 4,male,590,corr
MSC01,Session 4,male,859,corr
MSC01,Session 4,male,854,corr
MSC01,Session 4,male,786,corr
MSC01,Session 4,male,662,corr
MSC01,Session 4,male,897,corr
MSC01,Session 4,male,670,corr
MSC01,Session 4,female,575,corr
MSC01,Session 4,female,802,corr
MSC01,Session 4,female,708,corr
MSC01,Session 4,female,930,corr
MSC01,Session 4,female,812,corr
MSC01,Session 4,female,970,corr
