train_task,test_task,train_sub,test_sub,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
pres1,pres3,MSC05,MSC04,0.73,1.0,1.0,0.6510854341736695,1.0,1.0
pres2,pres1,MSC05,MSC04,0.58,1.0,1.0,0.543859649122807,1.0,1.0
pres2,pres3,MSC05,MSC04,0.665,1.0,1.0,0.6013243894048848,1.0,1.0
pres3,pres1,MSC05,MSC04,0.5,0.95,,0.5,,0.95
pres3,pres2,MSC05,MSC04,0.5,0.95,,0.5,,0.95
pres1,pres2,MSC05,MSC06,0.79,1.0,1.0,0.7054945054945055,1.0,1.0
pres1,pres3,MSC05,MSC06,0.89,1.0,1.0,0.8205128205128206,1.0,1.0
pres2,pres1,MSC05,MSC06,0.555,1.0,,0.5295321637426901,1.0,1.0
pres2,pres3,MSC05,MSC06,0.635,1.0,1.0,0.579592363261094,1.0,1.0
pres3,pres1,MSC05,MSC06,0.5,0.95,,0.5,,0.95
pres3,pres2,MSC05,MSC06,0.545,0.95,,0.5236842105263158,,0.95
pres1,pres2,MSC05,MSC07,0.885,1.0,1.0,0.8141025641025641,1.0,1.0
pres1,pres3,MSC05,MSC07,0.805,1.0,1.0,0.7212454212454212,1.0,1.0
pres2,pres1,MSC05,MSC07,0.515,1.0,,0.5078947368421053,1.0,1.0
pres2,pres3,MSC05,MSC07,0.53,1.0,,0.5160818713450293,1.0,1.0
pres3,pres1,MSC05,MSC07,0.5,0.95,,0.5,,0.95
pres3,pres2,MSC05,MSC07,0.59,0.95,1.0,0.5500515995872033,,0.95
pres1,pres2,MSC05,MSC10,0.8200000000000001,1.0,1.0,0.736996336996337,1.0,1.0
pres1,pres3,MSC05,MSC10,0.72,1.0,1.0,0.6462508080155139,1.0,1.0
pres2,pres1,MSC05,MSC10,0.71,1.0,1.0,0.6344187675070028,1.0,1.0
pres2,pres3,MSC05,MSC10,0.62,1.0,1.0,0.5701324389404885,1.0,1.0
pres3,pres1,MSC05,MSC10,0.5,0.95,,0.5,,0.95
pres3,pres2,MSC05,MSC10,0.555,0.95,1.0,0.5292397660818713,,0.95
pres1,pres2,MSC06,MSC01,0.96,0.85,0.9484848484848485,0.990909090909091,,0.85
pres1,pres3,MSC06,MSC01,0.965,0.85,0.9484848484848485,1.0,,0.85
pres2,pres1,MSC06,MSC01,0.66,0.8,,0.6292622582096267,,0.8
pres2,pres3,MSC06,MSC01,0.64,0.8,,0.6026059896415934,,0.8
pres3,pres1,MSC06,MSC01,0.51,0.9,,0.5055555555555555,,0.9
pres3,pres2,MSC06,MSC01,0.505,0.9,,0.5026315789473684,,0.9
pres1,pres2,MSC06,MSC02,0.775,0.85,0.99,0.7014468864468865,,0.85
pres1,pres3,MSC06,MSC02,0.675,0.85,0.9888888888888889,0.618617287425337,,0.85
pres2,pres1,MSC06,MSC02,0.75,0.8,1.0,0.6724969474969476,,0.8
pres2,pres3,MSC06,MSC02,0.585,0.8,,0.5529344193817878,,0.8
pres3,pres1,MSC06,MSC02,0.505,0.9,,0.5026315789473684,,0.9
pres3,pres2,MSC06,MSC02,0.505,0.9,,0.5026315789473684,,0.9
pres1,pres2,MSC06,MSC03,0.8055555555555556,0.85,0.95,0.7548076923076923,,0.85
pres1,pres3,MSC06,MSC03,0.8833333333333333,0.85,0.9583333333333334,0.8604728604728604,,0.85
pres2,pres1,MSC06,MSC03,0.7388888888888889,0.8,1.0,0.6845238095238095,,0.8
pres2,pres3,MSC06,MSC03,0.75,0.8,1.0,0.6936220642102995,,0.8
pres3,pres1,MSC06,MSC03,0.5666666666666667,0.9,,0.5625,,0.9
pres3,pres2,MSC06,MSC03,0.5611111111111111,0.9,,0.5588235294117647,,0.9
pres1,pres2,MSC06,MSC04,0.8200000000000001,0.85,1.0,0.737912087912088,,0.85
pres1,pres3,MSC06,MSC04,0.865,0.85,1.0,0.7905427905427905,,0.85
pres2,pres1,MSC06,MSC04,0.695,0.8,1.0,0.633409950902211,,0.8
pres2,pres3,MSC06,MSC04,0.74,0.8,1.0,0.6676498939656834,,0.8
pres3,pres1,MSC06,MSC04,0.505,0.9,,0.5026315789473684,,0.9
pres3,pres2,MSC06,MSC04,0.515,0.9,,0.5088235294117647,,0.9
pres1,pres2,MSC06,MSC05,0.905,0.85,1.0,0.8444055944055944,,0.85
pres1,pres3,MSC06,MSC05,0.86,0.85,1.0,0.7877747252747254,,0.85
pres2,pres1,MSC06,MSC05,0.64,0.8,1.0,0.5838235294117647,,0.8
pres2,pres3,MSC06,MSC05,0.69,0.8,1.0,0.6248222365869425,,0.8
pres3,pres1,MSC06,MSC05,0.545,0.9,,0.5236842105263158,,0.9
pres3,pres2,MSC06,MSC05,0.51,0.9,,0.5055555555555555,,0.9
pres1,pres2,MSC06,MSC07,0.865,0.85,0.9498376623376623,0.8326923076923077,,0.85
pres1,pres3,MSC06,MSC07,0.83,0.85,0.947008547008547,0.7777389277389277,,0.85
pres2,pres1,MSC06,MSC07,0.84,0.8,0.9833333333333334,0.7788003663003663,,0.8
pres2,pres3,MSC06,MSC07,0.81,0.8,0.9833333333333334,0.7487960568842922,,0.8
pres3,pres1,MSC06,MSC07,0.52,0.9,,0.5125,,0.9
pres3,pres2,MSC06,MSC07,0.545,0.9,,0.5259502923976608,,0.9
pres1,pres2,MSC06,MSC10,0.945,0.85,0.9742424242424242,0.9318181818181819,,0.85
pres1,pres3,MSC06,MSC10,0.9299999999999999,0.85,0.9733333333333334,0.9036363636363637,,0.85
pres2,pres1,MSC06,MSC10,0.84,0.8,1.0,0.7742747448629802,,0.8
pres2,pres3,MSC06,MSC10,0.815,0.8,1.0,0.7404512154512155,,0.8
pres3,pres1,MSC06,MSC10,0.525,0.9,,0.5166666666666666,,0.9
pres3,pres2,MSC06,MSC10,0.56,0.9,1.0,0.5325077399380804,,0.9
pres1,pres2,MSC07,MSC01,0.775,0.95,1.0,0.695302736479207,,0.95
pres1,pres3,MSC07,MSC01,0.675,0.95,1.0,0.6122370878175831,,0.95
pres2,pres1,MSC07,MSC01,0.66,0.7,1.0,0.6085561497326203,,0.7
pres2,pres3,MSC07,MSC01,0.58,0.7,,0.5466374269005848,,0.7
pres3,pres1,MSC07,MSC01,0.7,0.75,1.0,0.638066813647309,,0.75
pres3,pres2,MSC07,MSC01,0.6699999999999999,0.75,,0.6089492207139267,,0.75
pres1,pres2,MSC07,MSC02,0.79,0.95,1.0,0.7088827838827839,,0.95
pres1,pres3,MSC07,MSC02,0.665,0.95,1.0,0.6000816993464052,,0.95
pres2,pres1,MSC07,MSC02,0.625,0.7,1.0,0.5799701459531181,,0.7
pres2,pres3,MSC07,MSC02,0.625,0.7,,0.5793233082706767,,0.7
pres3,pres1,MSC07,MSC02,0.535,0.75,,0.5193498452012384,,0.75
pres3,pres2,MSC07,MSC02,0.515,0.75,,0.5088235294117647,,0.75
pres1,pres2,MSC07,MSC03,0.8055555555555556,0.95,1.0,0.7424908424908425,,0.95
pres1,pres3,MSC07,MSC03,0.8111111111111111,0.95,1.0,0.7498168498168498,,0.95
pres2,pres1,MSC07,MSC03,0.7055555555555556,0.7,1.0,0.6582606119370825,,0.7
pres2,pres3,MSC07,MSC03,0.6555555555555556,0.7,,0.6216153127917834,,0.7
pres3,pres1,MSC07,MSC03,0.6277777777777778,0.75,1.0,0.5997549019607843,,0.75
pres3,pres2,MSC07,MSC03,0.5944444444444444,0.75,,0.5812324929971989,,0.75
pres1,pres2,MSC07,MSC04,0.725,0.95,1.0,0.6508259714142067,,0.95
pres1,pres3,MSC07,MSC04,0.69,0.95,1.0,0.6186274509803922,,0.95
pres2,pres1,MSC07,MSC04,0.695,0.7,1.0,0.6242880485527544,,0.7
pres2,pres3,MSC07,MSC04,0.595,0.7,,0.5547084623323013,,0.7
pres3,pres1,MSC07,MSC04,0.545,0.75,,0.5249054007567939,,0.75
pres3,pres2,MSC07,MSC04,0.545,0.75,,0.5239766081871344,,0.75
pres1,pres2,MSC07,MSC05,0.715,0.95,1.0,0.6390756302521008,,0.95
pres1,pres3,MSC07,MSC05,0.68,0.95,1.0,0.6144196275001228,,0.95
pres2,pres1,MSC07,MSC05,0.61,0.7,1.0,0.5631879944960441,,0.7
pres2,pres3,MSC07,MSC05,0.57,0.7,,0.5464285714285715,,0.7
pres3,pres1,MSC07,MSC05,0.52,0.75,,0.5105263157894737,,0.75
pres3,pres2,MSC07,MSC05,0.505,0.75,,0.5026315789473684,,0.75
pres1,pres2,MSC07,MSC06,0.745,0.95,1.0,0.6636904761904762,,0.95
pres1,pres3,MSC07,MSC06,0.53,0.95,,0.5163742690058479,,0.95
pres2,pres1,MSC07,MSC06,0.5650000000000001,0.7,1.0,0.5354317165462676,,0.7
pres2,pres3,MSC07,MSC06,0.5700000000000001,0.7,,0.5406733746130031,,0.7
pres3,pres1,MSC07,MSC06,0.5,0.75,,0.5,,0.75
pres3,pres2,MSC07,MSC06,0.5,0.75,,0.5,,0.75
pres1,pres2,MSC07,MSC10,0.665,0.95,0.8090476190476191,0.6135164835164835,,0.95
pres1,pres3,MSC07,MSC10,0.615,0.95,0.74,0.576953781512605,,0.95
pres2,pres1,MSC07,MSC10,0.785,0.7,1.0,0.7113418444300798,,0.7
pres2,pres3,MSC07,MSC10,0.65,0.7,1.0,0.5921974052779007,,0.7
pres3,pres1,MSC07,MSC10,0.56,0.75,,0.5350877192982456,,0.75
pres3,pres2,MSC07,MSC10,0.545,0.75,,0.5249054007567939,,0.75
pres1,pres2,MSC10,MSC01,0.8300000000000001,1.0,1.0,0.7559597265479618,1.0,1.0
pres1,pres3,MSC10,MSC01,0.72,1.0,1.0,0.6472222222222223,1.0,1.0
pres2,pres1,MSC10,MSC01,0.52,0.8,,0.5108187134502924,,0.8
pres2,pres3,MSC10,MSC01,0.53,0.8,,0.5157894736842105,,0.8
pres3,pres1,MSC10,MSC01,0.5700000000000001,0.7,1.0,0.5380116959064327,,0.7
pres3,pres2,MSC10,MSC01,0.53,0.7,,0.5163742690058479,,0.7
pres1,pres2,MSC10,MSC02,0.75,1.0,1.0,0.6666666666666666,1.0,1.0
pres1,pres3,MSC10,MSC02,0.665,1.0,1.0,0.6013243894048848,1.0,1.0
pres2,pres1,MSC10,MSC02,0.5700000000000001,0.8,,0.5383040935672515,,0.8
pres2,pres3,MSC10,MSC02,0.545,0.8,,0.5245614035087719,,0.8
pres3,pres1,MSC10,MSC02,0.515,0.7,,0.5078947368421053,,0.7
pres3,pres2,MSC10,MSC02,0.505,0.7,,0.5026315789473684,,0.7
pres1,pres2,MSC10,MSC03,0.8777777777777778,1.0,1.0,0.8216783216783217,1.0,1.0
pres1,pres3,MSC10,MSC03,0.8388888888888889,1.0,1.0,0.7791208791208791,1.0,1.0
pres2,pres1,MSC10,MSC03,0.8333333333333334,0.8,1.0,0.7777888777888778,,0.8
pres2,pres3,MSC10,MSC03,0.65,0.8,,0.6158496732026144,,0.8
pres3,pres1,MSC10,MSC03,0.6777777777777778,0.7,1.0,0.6338235294117647,,0.7
pres3,pres2,MSC10,MSC03,0.75,0.7,1.0,0.692156862745098,,0.7
pres1,pres2,MSC10,MSC04,0.78,1.0,1.0,0.6958333333333333,1.0,1.0
pres1,pres3,MSC10,MSC04,0.765,1.0,1.0,0.6855921855921856,1.0,1.0
pres2,pres1,MSC10,MSC04,0.725,0.8,1.0,0.6474089635854342,,0.8
pres2,pres3,MSC10,MSC04,0.625,0.8,1.0,0.5723039215686274,,0.8
