train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC06,MSC10,motor,0.9388888888888889,1.0,1.0,0.8922558922558922,1.0,1.0
MSC06,MSC10,mem,0.995,1.0,1.0,0.990909090909091,1.0,1.0
MSC07,MSC01,glass,0.705,0.95,1.0,0.6301470588235294,,0.95
MSC07,MSC01,semantic,0.94,1.0,1.0,0.8939393939393939,1.0,1.0
MSC07,MSC01,motor,0.861111111111111,0.9444444444444444,1.0,0.7834757834757835,,0.9444444444444444
MSC07,MSC01,mem,1.0,1.0,1.0,1.0,1.0,1.0
MSC07,MSC02,glass,0.54,0.95,,0.5210526315789473,,0.95
MSC07,MSC02,semantic,0.725,1.0,1.0,0.6475140056022409,1.0,1.0
MSC07,MSC02,motor,0.7944444444444444,0.9444444444444444,1.0,0.7120980870980871,,0.9444444444444444
MSC07,MSC02,mem,0.95,1.0,1.0,0.9090909090909091,1.0,1.0
MSC07,MSC03,glass,0.5,0.95,,0.5,,0.95
MSC07,MSC03,semantic,0.6,1.0,1.0,0.5562435500515996,1.0,1.0
MSC07,MSC03,motor,0.8777777777777778,0.9444444444444444,0.9876543209876543,0.8102823102823103,,0.9444444444444444
MSC07,MSC03,mem,0.9277777777777777,1.0,0.9388888888888889,0.9236363636363636,1.0,1.0
MSC07,MSC04,glass,0.5,0.95,,0.5,,0.95
MSC07,MSC04,semantic,0.65,1.0,1.0,0.5882352941176471,1.0,1.0
MSC07,MSC04,motor,0.85,0.9444444444444444,1.0,0.774928774928775,,0.9444444444444444
MSC07,MSC04,mem,0.89,1.0,1.0,0.8214285714285715,1.0,1.0
MSC07,MSC05,glass,0.5,0.95,,0.5,,0.95
MSC07,MSC05,semantic,0.5,1.0,,0.5,1.0,1.0
MSC07,MSC05,motor,0.8,0.9444444444444444,1.0,0.7150997150997151,,0.9444444444444444
MSC07,MSC05,mem,0.895,1.0,1.0,0.826923076923077,1.0,1.0
MSC07,MSC06,glass,0.5263157894736842,0.95,,0.5263157894736842,,0.95
MSC07,MSC06,semantic,0.55,1.0,1.0,0.5263157894736842,1.0,1.0
